"name"	"official_name"
"alblasserdam"	"Alblasserdam"
"amsterdam"	"Amsterdam"
"amsterdam-z.o."	"Amsterdam"
"amsterdam-zuidoost"	"Amsterdam"
"amsterdam z-o"	"Amsterdam"
"amsterdam z.o."	"Amsterdam"
"amsterdam zo"	"Amsterdam"
"amsterdam zuid oost"	"Amsterdam"
"amsterdam zuidoost"	"Amsterdam"
"amsterdamzuidoost"	"Amsterdam"
"hoogvliet rotterdam"	"Hoogvliet Rotterdam"
"leerdam"	"Leerdam"
"nieuw amsterdam"	"Nieuw Amsterdam"
"pernis rotterdam"	"Pernis Rotterdam"
"rotterdam"	"Rotterdam"
"zwammerdam"	"Zwammerdam"
"hoogvliet (rotterdam)"	"Hoogvliet Rotterdam"
"rotterdam hoogvliet"	"Hoogvliet Rotterdam"
"asmsterdam"	"Amsterdam"
"amsterdam-zuid oost"	"Amsterdam"
"msterdam"	"Amsterdam"
"amsterdam zuid/oost"	"Amsterdam"
"rotterdam-schiebroek"	"Rotterdam"
"amsterdam-zeebrug"	"Amsterdam"
"amsterdam/diemen"	"Diemen"
"nieuw - amsterdam"	"Nieuw Amsterdam"
"amsterdam zuid-oost"	"Amsterdam"
"amsterdam noord"	"Amsterdam"
"amserdam"	"Amsterdam"
"amsterdam-noord"	"Amsterdam"
"amsterdam z o"	"Amsterdam"
"amsterdam z.o"	"Amsterdam"
"amsterdam z/o"	"Amsterdam"
"amsterdam."	"Amsterdam"
"amstrdam"	"Amsterdam"
"amterdam"	"Amsterdam"
"ansterdam"	"Amsterdam"
"amsterdam-osdorp"	"Amsterdam"
"amsterdam ijburg"	"Amsterdam"
"aamsterdam"	"Amsterdam"
"amstrerdam"	"Amsterdam"
"amsetrdam"	"Amsterdam"
"amsterdam (buitenveldert"	"Amsterdam"
"asterdam"	"Amsterdam"
"amsterdam - noord"	"Amsterdam"
"amsterdam n."	"Amsterdam"
"amsterdam/zunderdorp"	"Amsterdam"
"amstetrdam"	"Amsterdam"
"a msterdam"	"Amsterdam"
"amsterdam-zo"	"Amsterdam"
"amsterdam  zuidoost"	"Amsterdam"
"amsterdam- zuidoost"	"Amsterdam"
"amsterdam     z.o."	"Amsterdam"
"amesterdam"	"Amsterdam"
"rotterdam charlois"	"Rotterdam"
"hoogvliet-rotterdam"	"Hoogvliet Rotterdam"
"rootterdam"	"Rotterdam"
"nieuw-amsterdam"	"Nieuw Amsterdam"
"rottterdam"	"Rotterdam"
"rotterdam-hoogvliet"	"Hoogvliet Rotterdam"
"rotterdam."	"Rotterdam"
"nw. amsterdam"	"Nieuw Amsterdam"
"roterdam"	"Rotterdam"
"rotterdam-pernis"	"Pernis Rotterdam"
"rotterdam - hoogvliet"	"Hoogvliet Rotterdam"
"rotterrdam"	"Rotterdam"
"rooterdam"	"Rotterdam"
"rottrdam"	"Rotterdam"
"rotterdaml"	"Rotterdam"
"hoogvliet /rotterdam"	"Hoogvliet Rotterdam"
"totterdam"	"Rotterdam"
"+msterdam"	"Amsterdam"
"ablasserdam"	"Alblasserdam"
"amnsterdam"	"Amsterdam"
"amsterdam-holysloot"	"Amsterdam"
"amsterdam-ijburg"	"Amsterdam"
"amsterdam - diemen"	"Diemen"
"amsterdam - ijburg"	"Amsterdam"
"amsterdam - zuidoost"	"Amsterdam"
"amsterdam  zo"	"Amsterdam"
"amsterdam (driemond)"	"Amsterdam"
"amsterdam (ijburg)"	"Amsterdam"
"amsterdam (z.o.)"	"Amsterdam"
"amsterdam zd-oost"	"Amsterdam"
"amsterdam zuidooost"	"Amsterdam"
"amsterdam/noord"	"Amsterdam"
"amstserdam"	"Amsterdam"
"hoogvliet - rotterdam"	"Hoogvliet Rotterdam"
"hoogvlietrotterdam"	"Hoogvliet Rotterdam"
"nieuwamsterdam"	"Nieuw Amsterdam"
"nw-amsterdam"	"Nieuw Amsterdam"
"nw amsterdam"	"Nieuw Amsterdam"
"pernis-rotterdam"	"Pernis Rotterdam"
"pernis - rotterdam"	"Pernis Rotterdam"
"pernis (rotterdam)"	"Pernis Rotterdam"
"rotterdam-hillegersb"	"Rotterdam"
"rotterdam-overschie"	"Rotterdam"
"rotterdam (hillegersberg"	"Rotterdam"
"rotterdam (zevenkamp)"	"Rotterdam"
"rotterdam / overschie"	"Rotterdam"
"rotterdam	"	"Rotterdam"
"rotterdamk"	"Rotterdam"
"spaardam"	"Spaarndam"
"zammerdam"	"Zwammerdam"
"zwabberdam"	"Zwammerdam"
"amstaerdam"	"Amsterdam"
"amsterdam- driemond"	"Amsterdam"
"amsterdam-driemond"	"Amsterdam"
